ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason,hypothesis_id,priority,use_type,suggested_response,preferred_entry_mode,preferred_hold_days,backtest_avg_score_pct,backtest_hit_rate,risk_note,match_quality,required_flow_category
347850,디앤디파마텍,2026-06-24,2026_Q2,변동성 장세,down,-4.266389177939645,92000.0,151084663850.0,101531794764.0351,거래대금평균상회,수급엇갈림,-241224.0,213336.0,-2575.0,DART공시동반,1,2026-06-22 전환청구권행사              (제1회차),직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
017670,SK텔레콤,2026-06-24,2026_Q2,변동성 장세,up,1.2235817575083408,91000.0,95537485700.0,153489026723.5614,거래대금약함,수급엇갈림,983773.0,-412061.0,-533549.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
001820,삼화콘덴서,2026-06-24,2026_Q2,변동성 장세,down,-4.225352112676061,136000.0,70723530450.0,118797340434.21053,거래대금약함,외국인기관동반매도,-28254.0,-41877.0,61729.0,DART공시동반,2,2026-06-23 주식등의대량보유상황보고서(일반) / 2026-06-23 최대주주등소유주식변동신고서              ,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
010170,대한광통신,2026-06-24,2026_Q2,변동성 장세,up,0.700770847932719,14370.0,108623020500.0,632561569884.1228,거래대금약함,수급엇갈림,3018786.0,-42260.0,-2443768.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
011790,SKC,2026-06-24,2026_Q2,변동성 장세,up,1.1363636363636465,106800.0,40533521100.0,113151128863.6842,거래대금약함,수급엇갈림,196564.0,-120284.0,-77278.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
475150,SK이터닉스,2026-06-24,2026_Q2,변동성 장세,up,0.13262599469496816,37750.0,42781520125.0,114704544221.92982,거래대금약함,수급엇갈림,295747.0,-155116.0,-125976.0,DART공시동반,1,2026-06-24 [기재정정]주요사항보고서(유형자산양도결정),직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
122640,예스티,2026-06-24,2026_Q2,변동성 장세,down,-2.5974025974025983,37500.0,51102812575.0,18536159449.385963,거래대금급증,외국인기관동반매수,187372.0,133393.0,-286943.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
004310,현대약품,2026-06-24,2026_Q2,변동성 장세,up,6.573426573426566,7620.0,34883797440.0,21928174474.035088,거래대금평균상회,외국인기관동반매수,256679.0,194.0,-259165.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
093370,후성,2026-06-24,2026_Q2,변동성 장세,up,3.378378378378377,18360.0,59491654015.0,86528564691.05263,거래대금약함,수급엇갈림,1649748.0,-660295.0,-1021754.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
079550,LIG디펜스앤에어로스페이스,2026-06-24,2026_Q2,변동성 장세,up,1.8541409147095234,824000.0,109084030000.0,305361059533.614,거래대금약함,수급엇갈림,18860.0,-16282.0,-2475.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched,,,,,,,,,,,
