buy_date,strategy,open_price,shares_bought,amount,cum_invested,cum_shares,cum_value
2024-08-19,weekly,18383.0,13.599521,250000,17250000,1210.562155,22253764.0
2024-08-26,weekly,18256.0,13.694128,250000,17500000,1224.256283,22350023.0
2024-09-02,weekly,18413.0,13.577364,250000,17750000,1237.833647,22792231.0
2024-09-09,weekly,17672.0,14.146673,250000,18000000,1251.98032,22124996.0
2024-09-19,weekly,18295.0,13.664936,250000,18250000,1265.645256,23154980.0
2024-09-23,weekly,18584.0,13.452432,250000,18500000,1279.097688,23770751.0
2024-09-30,weekly,18432.0,13.563368,250000,18750000,1292.661056,23826329.0
2024-10-07,weekly,18918.0,13.214928,250000,19000000,1305.875983,24704562.0
2024-10-14,weekly,19193.0,13.025582,250000,19250000,1318.901566,25313678.0
2024-10-21,weekly,19639.0,12.729772,250000,19500000,1331.631338,26151908.0
2024-10-28,weekly,19830.0,12.607161,250000,19750000,1344.238499,26656249.0
2024-11-04,weekly,19299.0,12.954039,250000,20000000,1357.192538,26192459.0
2024-11-11,weekly,20490.0,12.201074,250000,20250000,1369.393612,28058875.0
2024-11-18,weekly,20101.0,12.437192,250000,20500000,1381.830804,27776181.0
2024-11-25,weekly,20519.0,12.18383,250000,20750000,1394.014633,28603786.0
2024-12-02,weekly,20608.0,12.131211,250000,21000000,1406.145845,28977854.0
2024-12-09,weekly,21292.0,11.741499,250000,21250000,1417.887344,30189657.0
2024-12-16,weekly,21253.0,11.763045,250000,21500000,1429.650389,30384360.0
2024-12-23,weekly,21080.0,11.859583,250000,21750000,1441.509972,30387030.0
2024-12-30,weekly,21577.0,11.586411,250000,22000000,1453.096383,31353461.0
