signal_date,pattern_id,pattern_name,category,prediction_direction,confidence,basis,open,high,low,close,volume,trade_amount,ticker,name
2026-01-16,three_white_soldiers,적삼병,추세 지속형,up,85,연속 3개 강한 양봉,145300.0,149500.0,144300.0,148900.0,30000219.0,4435943361334.0,005930,삼성전자
2026-01-16,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,145300.0,149500.0,144300.0,148900.0,30000219.0,4435943361334.0,005930,삼성전자
2026-01-16,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,145300.0,149500.0,144300.0,148900.0,30000219.0,4435943361334.0,005930,삼성전자
2026-01-19,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,147200.0,150600.0,146600.0,149300.0,22762497.0,3381546209135.0,005930,삼성전자
2026-01-21,bullish_engulfing,상승 장악형,추세 반전형,up,80,음봉 몸통을 다음 양봉이 감쌈,141900.0,149800.0,141800.0,149500.0,31703610.0,4679612359030.0,005930,삼성전자
2026-01-21,single_white_marubozu,마루보즈 양봉,단일 캔들 패턴,up,80,꼬리가 거의 없는 강한 양봉,141900.0,149800.0,141800.0,149500.0,31703610.0,4679612359030.0,005930,삼성전자
2026-01-21,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,141900.0,149800.0,141800.0,149500.0,31703610.0,4679612359030.0,005930,삼성전자
2026-01-21,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,141900.0,149800.0,141800.0,149500.0,31703610.0,4679612359030.0,005930,삼성전자
2026-01-21,railroad_tracks,기찻길형,추세 반전형,neutral,60,비슷한 크기의 반대 방향 장대봉 2개,141900.0,149800.0,141800.0,149500.0,31703610.0,4679612359030.0,005930,삼성전자
2026-01-22,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,155000.0,157000.0,150800.0,152300.0,32073624.0,4953546934392.0,005930,삼성전자
2026-01-22,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,155000.0,157000.0,150800.0,152300.0,32073624.0,4953546934392.0,005930,삼성전자
2026-01-22,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,155000.0,157000.0,150800.0,152300.0,32073624.0,4953546934392.0,005930,삼성전자
2026-01-23,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,154700.0,156000.0,150100.0,152100.0,25407497.0,3899973965409.0,005930,삼성전자
2026-01-27,three_inside_up,쓰리 인사이드 업,추세 반전형,up,82,상승 잉태형 뒤 확인 양봉,150500.0,159500.0,149200.0,159500.0,29423670.0,4565457606491.0,005930,삼성전자
2026-01-27,bullish_engulfing,상승 장악형,추세 반전형,up,80,음봉 몸통을 다음 양봉이 감쌈,150500.0,159500.0,149200.0,159500.0,29423670.0,4565457606491.0,005930,삼성전자
2026-01-27,single_long_bull,장대 양봉,단일 캔들 패턴,up,75,최근 평균 몸통 대비 큰 양봉,150500.0,159500.0,149200.0,159500.0,29423670.0,4565457606491.0,005930,삼성전자
2026-01-27,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,150500.0,159500.0,149200.0,159500.0,29423670.0,4565457606491.0,005930,삼성전자
2026-01-28,bearish_kicker,하락 키커,추세 반전형,down,80,장대 양봉 뒤 하락 갭 장대 음봉,162600.0,163300.0,160200.0,162400.0,29456431.0,4772986696538.0,005930,삼성전자
2026-01-28,rising_window,라이징 윈도우,추세 지속형,up,70,전일 고가 위로 상승 갭 형성,162600.0,163300.0,160200.0,162400.0,29456431.0,4772986696538.0,005930,삼성전자
2026-01-28,single_cross_doji,십자형,단일 캔들 패턴,neutral,70,위아래 꼬리가 있는 십자형 도지,162600.0,163300.0,160200.0,162400.0,29456431.0,4772986696538.0,005930,삼성전자
2026-01-28,single_doji,도지,단일 캔들 패턴,neutral,65,시가와 종가가 거의 같은 균형 캔들,162600.0,163300.0,160200.0,162400.0,29456431.0,4772986696538.0,005930,삼성전자
2026-01-28,single_spinning_top,팽이형,단일 캔들 패턴,neutral,65,작은 몸통과 양쪽 꼬리,162600.0,163300.0,160200.0,162400.0,29456431.0,4772986696538.0,005930,삼성전자
2026-01-28,tweezer_top,트위저 탑,추세 반전형,down,65,비슷한 고점이 이틀 연속 형성,162600.0,163300.0,160200.0,162400.0,29456431.0,4772986696538.0,005930,삼성전자
2026-01-29,tweezer_bottom,트위저 바텀,추세 반전형,up,65,비슷한 저점이 이틀 연속 형성,166200.0,166600.0,157100.0,160700.0,36087223.0,5826870231490.0,005930,삼성전자
