buy_date,strategy,open_price,shares_bought,amount,cum_invested,cum_shares,cum_value
2022-02-14,weekly,33654.0,7.428537,250000,16750000,567.4913,19098352.0
2022-10-11,weekly,26540.0,9.419744,250000,17000000,576.911044,15311219.0
2022-10-17,weekly,26605.0,9.39673,250000,17250000,586.307774,15598718.0
2022-10-24,weekly,27320.0,9.150805,250000,17500000,595.458579,16267928.0
2022-10-31,weekly,27793.0,8.995071,250000,17750000,604.45365,16799580.0
2022-11-07,weekly,28454.0,8.786111,250000,18000000,613.239761,17449124.0
2022-11-14,weekly,30205.0,8.276775,250000,18250000,621.516536,18772907.0
2022-11-21,weekly,29613.0,8.442238,250000,18500000,629.958774,18654969.0
2022-11-28,weekly,29269.0,8.54146,250000,18750000,638.500235,18688263.0
2022-12-05,weekly,29478.0,8.480901,250000,19000000,646.981136,19071710.0
2022-12-12,weekly,28878.0,8.657109,250000,19250000,655.638245,18933521.0
2022-12-19,weekly,28514.0,8.767623,250000,19500000,664.405868,18944869.0
2022-12-26,weekly,28128.0,8.887941,250000,19750000,673.293809,18938408.0
2023-01-02,weekly,27625.0,9.049774,250000,20000000,682.343582,18849741.0
2023-01-09,weekly,28817.0,8.675435,250000,20250000,691.019017,19913095.0
2023-01-16,weekly,29711.0,8.414392,250000,20500000,699.433409,20780866.0
2023-01-25,weekly,30260.0,8.261732,250000,20750000,707.695141,21414855.0
2023-01-30,weekly,30987.0,8.067899,250000,21000000,715.76304,22179349.0
2023-02-06,weekly,30515.0,8.192692,250000,21250000,723.955732,22091509.0
2023-02-13,weekly,30413.0,8.220169,250000,21500000,732.175901,22267666.0
2023-02-20,weekly,30352.0,8.23669,250000,21750000,740.412591,22473003.0
2023-02-27,weekly,29689.0,8.420627,250000,22000000,748.833218,22232109.0
2023-10-24,weekly,30266.0,8.260094,250000,22250000,757.093312,22914186.0
2023-10-30,weekly,29308.0,8.530094,250000,22500000,765.623406,22438891.0
2023-11-06,weekly,30863.0,8.100314,250000,22750000,773.72372,23879435.0
2023-11-13,weekly,31196.0,8.013848,250000,23000000,781.737568,24387085.0
2023-11-20,weekly,31629.0,7.904139,250000,23250000,789.641707,24975578.0
2023-11-27,weekly,31900.0,7.836991,250000,23500000,797.478697,25439570.0
2023-12-04,weekly,32162.0,7.773148,250000,23750000,805.251846,25898510.0
2023-12-11,weekly,32252.0,7.751457,250000,24000000,813.003303,26220983.0
2023-12-18,weekly,32775.0,7.627765,250000,24250000,820.631068,26896183.0
2023-12-26,weekly,33508.0,7.460905,250000,24500000,828.091973,27747706.0
2024-01-02,weekly,34231.0,7.303322,250000,24750000,835.395295,28596416.0
2024-01-08,weekly,33441.0,7.475853,250000,25000000,842.871148,28186454.0
2024-01-15,weekly,32500.0,7.692308,250000,25250000,850.563455,27643312.0
2024-01-22,weekly,32271.0,7.746893,250000,25500000,858.310349,27698533.0
2024-01-29,weekly,32214.0,7.760601,250000,25750000,866.07095,27899610.0
2024-02-05,weekly,33792.0,7.398201,250000,26000000,873.46915,29516270.0
2024-02-13,weekly,34260.0,7.29714,250000,26250000,880.76629,30175053.0
2024-02-19,weekly,34193.0,7.311438,250000,26500000,888.077728,30366042.0
2024-02-26,weekly,34221.0,7.305456,250000,26750000,895.383184,30640908.0
2024-03-04,weekly,34541.0,7.237775,250000,27000000,902.620959,31177431.0
2024-03-11,weekly,34598.0,7.225851,250000,27250000,909.84681,31478880.0
2024-03-18,weekly,34727.0,7.199009,250000,27500000,917.04582,31846250.0
2024-08-01,weekly,37256.0,6.710329,250000,27750000,923.756148,34415459.0
2024-08-05,weekly,34566.0,7.232541,250000,28000000,930.988689,32180555.0
2024-08-12,weekly,34343.0,7.279504,250000,28250000,938.268193,32222945.0
2024-08-19,weekly,35865.0,6.970584,250000,28500000,945.238777,33900989.0
2024-08-26,weekly,35890.0,6.965729,250000,28750000,952.204506,34174620.0
2024-09-02,weekly,35187.0,7.104897,250000,29000000,959.309402,33755220.0
2024-09-09,weekly,32608.0,7.66683,250000,29250000,966.976232,31531161.0
2024-09-19,weekly,33631.0,7.433618,250000,29500000,974.40985,32770378.0
2024-09-23,weekly,33549.0,7.451787,250000,29750000,981.861637,32940476.0
2024-09-30,weekly,34663.0,7.212301,250000,30000000,989.073938,34284270.0
2024-10-07,weekly,33369.0,7.491984,250000,30250000,996.565922,33254408.0
2024-10-14,weekly,33733.0,7.41114,250000,30500000,1003.977062,33867158.0
2024-10-21,weekly,33772.0,7.402582,250000,30750000,1011.379645,34156313.0
2024-10-28,weekly,33573.0,7.44646,250000,31000000,1018.826104,34205049.0
2024-11-04,weekly,33003.0,7.575069,250000,31250000,1026.401173,33874318.0
2024-11-11,weekly,32939.0,7.589787,250000,31500000,1033.990961,34058628.0
2024-11-18,weekly,31553.0,7.923177,250000,31750000,1041.914137,32875517.0
2024-11-25,weekly,32725.0,7.639419,250000,32000000,1049.553557,34346640.0
2024-12-02,weekly,32059.0,7.798122,250000,32250000,1057.351679,33897637.0
2024-12-09,weekly,31009.0,8.062175,250000,32500000,1065.413855,33037418.0
2024-12-16,weekly,32434.0,7.707961,250000,32750000,1073.121815,34805633.0
2024-12-23,weekly,31261.0,7.997185,250000,33000000,1081.119,33796861.0
2024-12-30,weekly,31154.0,8.024652,250000,33250000,1089.143652,33931181.0
