signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-07-02,095340,ISC,foreign_buy_streak_6,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",6,284508,877446,1084706,48.29,154100,2026-07-03,152600,-0.97,167000,8.37,141800,-7.98,,,,,하락 전환,"D+1(2026-07-03) 시가 -0.97%, 종가 +8.37%; D+5 -7.98%"
2026-07-02,084370,유진테크,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,12934,20252,4393,2.81,175300,2026-07-03,175800,0.29,171600,-2.11,147000,-16.14,,,,,하락 전환,"D+1(2026-07-03) 시가 +0.29%, 종가 -2.11%; D+5 -16.14%"
2026-07-02,440110,파두,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,233419,408006,454977,31.50,76000,2026-07-03,76000,0.00,79600,4.74,71800,-5.53,,,,,하락 전환,"D+1(2026-07-03) 시가 +0.00%, 종가 +4.74%; D+5 -5.53%"
2026-07-02,475040,스트라드비젼,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",2,151268,309185,-730559,1.48,4615,2026-07-03,4670,1.19,4580,-0.76,4495,-2.60,,,,,보합,"D+1(2026-07-03) 시가 +1.19%, 종가 -0.76%; D+5 -2.60%"
2026-07-02,228340,동양파일,foreign_buy_streak_4,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all",4,37802,42440,106294,0.38,4370,2026-07-03,4215,-3.55,3245,-25.74,3770,-13.73,,,,,하락 전환,"D+1(2026-07-03) 시가 -3.55%, 종가 -25.74%; D+5 -13.73%"
2026-07-03,005935,삼성전자우,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",3,56632,630835,662456,1.06,208000,2026-07-06,210000,0.96,212500,2.16,,,,,,,상승,"D+1(2026-07-06) 시가 +0.96%, 종가 +2.16%"
2026-07-03,005380,현대차,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,76257,224683,117170,7.87,492000,2026-07-06,492500,0.10,502000,2.03,,,,,,,상승,"D+1(2026-07-06) 시가 +0.10%, 종가 +2.03%"
2026-07-03,403870,HPSP,foreign_buy_streak_6,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",6,883068,991315,2168811,11.67,48500,2026-07-06,48500,0.00,44500,-8.25,,,,,,,하락 전환,"D+1(2026-07-06) 시가 +0.00%, 종가 -8.25%"
2026-07-03,066570,LG전자,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,90869,375382,318301,6.30,191000,2026-07-06,192000,0.52,185700,-2.77,,,,,,,보합,"D+1(2026-07-06) 시가 +0.52%, 종가 -2.77%"
2026-07-03,034020,두산에너빌리티,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,207630,293471,210299,7.07,86200,2026-07-06,88700,2.90,85500,-0.81,,,,,,,보합,"D+1(2026-07-06) 시가 +2.90%, 종가 -0.81%"
2026-07-03,011070,LG이노텍,foreign_buy_streak_5,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",5,65459,101665,121282,23.72,872000,2026-07-06,909000,4.24,855000,-1.95,,,,,,,보합,"D+1(2026-07-06) 시가 +4.24%, 종가 -1.95%"
2026-07-03,475150,SK이터닉스,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all",3,11415,100102,306798,0.29,47750,2026-07-06,47300,-0.94,42900,-10.16,,,,,,,하락 전환,"D+1(2026-07-06) 시가 -0.94%, 종가 -10.16%"
2026-07-03,042700,한미반도체,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,99052,175149,592987,12.01,232500,2026-07-06,233500,0.43,226500,-2.58,,,,,,,보합,"D+1(2026-07-06) 시가 +0.43%, 종가 -2.58%"
2026-07-03,012330,현대모비스,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,60009,71681,72799,15.93,494000,2026-07-06,495500,0.30,515000,4.25,,,,,,,상승,"D+1(2026-07-06) 시가 +0.30%, 종가 +4.25%"
2026-07-03,000270,기아,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,159566,216160,341145,14.79,152000,2026-07-06,153000,0.66,160700,5.72,,,,,,,상승 지속,"D+1(2026-07-06) 시가 +0.66%, 종가 +5.72%"
2026-07-03,043260,성호전자,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,437428,586322,491972,9.50,22100,2026-07-06,22100,0.00,21250,-3.85,,,,,,,보합,"D+1(2026-07-06) 시가 +0.00%, 종가 -3.85%"
