signal_date,ticker,name,condition_id,matched_conditions,foreign_net_sell_streak,foreign_qty,foreign_net_sell_2d_qty,foreign_net_sell_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-05-19,196170,알테오젠,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-42540,-108852,-187452,5.64,366500,2026-05-20,367000,0.14,359500,-1.91,386500,5.46,346500,-5.46,369500,0.82,상승,"D+1(2026-05-20) 시가 +0.14%, 종가 -1.91%; D+5 +5.46%; D+10 -5.46%; D+20 +0.82%"
2026-05-19,000270,기아,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-490632,-553531,-900660,31.09,154900,2026-05-20,153600,-0.84,149400,-3.55,164700,6.33,164300,6.07,158800,2.52,상승,"D+1(2026-05-20) 시가 -0.84%, 종가 -3.55%; D+5 +6.33%; D+10 +6.07%; D+20 +2.52%"
2026-05-19,001440,대한전선,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-163637,-439304,335219,3.77,53200,2026-05-20,53200,0.00,52000,-2.26,49550,-6.86,42350,-20.39,39500,-25.75,하락 전환,"D+1(2026-05-20) 시가 +0.00%, 종가 -2.26%; D+5 -6.86%; D+10 -20.39%; D+20 -25.75%"
2026-05-19,329180,HD현대중공업,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-8736,-17809,166586,2.30,598000,2026-05-20,605000,1.17,636000,6.35,744000,24.41,651000,8.86,684000,14.38,상승 지속,"D+1(2026-05-20) 시가 +1.17%, 종가 +6.35%; D+5 +24.41%; D+10 +8.86%; D+20 +14.38%"
2026-05-19,006260,LS,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-138641,-212592,-127970,37.25,541000,2026-05-20,528000,-2.40,500000,-7.58,508000,-6.10,435500,-19.50,417500,-22.83,하락 전환,"D+1(2026-05-20) 시가 -2.40%, 종가 -7.58%; D+5 -6.10%; D+10 -19.50%; D+20 -22.83%"
2026-05-19,006800,미래에셋증권,foreign_sell_streak_9,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",9,-247058,-846612,-1049798,8.63,66400,2026-05-20,66300,-0.15,62000,-6.63,64500,-2.86,58300,-12.20,50700,-23.64,하락 전환,"D+1(2026-05-20) 시가 -0.15%, 종가 -6.63%; D+5 -2.86%; D+10 -12.20%; D+20 -23.64%"
2026-05-19,035420,NAVER,foreign_sell_streak_3,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",3,-259165,-418023,-585951,27.27,198100,2026-05-20,198100,0.00,191500,-3.33,198800,0.35,267500,35.03,235000,18.63,상승 지속,"D+1(2026-05-20) 시가 +0.00%, 종가 -3.33%; D+5 +0.35%; D+10 +35.03%; D+20 +18.63%"
2026-05-19,267260,HD현대일렉트릭,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-30612,-39976,-39575,17.89,1095000,2026-05-20,1080000,-1.37,1066000,-2.65,1094000,-0.09,999000,-8.77,1087000,-0.73,보합,"D+1(2026-05-20) 시가 -1.37%, 종가 -2.65%; D+5 -0.09%; D+10 -8.77%; D+20 -0.73%"
2026-05-19,032830,삼성생명,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-122326,-181784,-94200,21.74,312000,2026-05-20,316500,1.44,312000,0.00,354500,13.62,438000,40.38,469000,50.32,상승 지속,"D+1(2026-05-20) 시가 +1.44%, 종가 +0.00%; D+5 +13.62%; D+10 +40.38%; D+20 +50.32%"
2026-05-19,105560,KB금융,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-368018,-559920,-275747,31.78,152800,2026-05-20,155100,1.51,151700,-0.72,153800,0.65,164200,7.46,163100,6.74,상승 지속,"D+1(2026-05-20) 시가 +1.51%, 종가 -0.72%; D+5 +0.65%; D+10 +7.46%; D+20 +6.74%"
2026-05-19,031330,에스에이엠티,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-734410,-808894,-726359,6.86,15640,2026-05-20,15640,0.00,14280,-8.70,17700,13.17,18860,20.59,15950,1.98,상승,"D+1(2026-05-20) 시가 +0.00%, 종가 -8.70%; D+5 +13.17%; D+10 +20.59%; D+20 +1.98%"
2026-05-19,298040,효성중공업,foreign_sell_streak_5,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",5,-8005,-12794,-13659,17.70,3580000,2026-05-20,3583000,0.08,3569000,-0.31,3681000,2.82,3488000,-2.57,3693000,3.16,상승,"D+1(2026-05-20) 시가 +0.08%, 종가 -0.31%; D+5 +2.82%; D+10 -2.57%; D+20 +3.16%"
2026-05-19,010170,대한광통신,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct",2,-62522,-424573,23207,0.86,21550,2026-05-20,21300,-1.16,22900,6.26,27600,28.07,20300,-5.80,17650,-18.10,하락 전환,"D+1(2026-05-20) 시가 -1.16%, 종가 +6.26%; D+5 +28.07%; D+10 -5.80%; D+20 -18.10%"
2026-05-19,277810,레인보우로보틱스,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-27638,-76563,-71333,12.65,666000,2026-05-20,663000,-0.45,638000,-4.20,732000,9.91,714000,7.21,615000,-7.66,하락 전환,"D+1(2026-05-20) 시가 -0.45%, 종가 -4.20%; D+5 +9.91%; D+10 +7.21%; D+20 -7.66%"
2026-05-19,347700,스피어,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-473023,-594203,-591005,15.64,46900,2026-05-20,43350,-7.57,40050,-14.61,44150,-5.86,33950,-27.61,27150,-42.11,하락 전환,"D+1(2026-05-20) 시가 -7.57%, 종가 -14.61%; D+5 -5.86%; D+10 -27.61%; D+20 -42.11%"
2026-05-19,247540,에코프로비엠,foreign_sell_streak_7,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",7,-96128,-143937,-205675,16.56,182400,2026-05-20,181000,-0.77,176700,-3.12,213500,17.05,197400,8.22,172300,-5.54,하락 전환,"D+1(2026-05-20) 시가 -0.77%, 종가 -3.12%; D+5 +17.05%; D+10 +8.22%; D+20 -5.54%"
2026-05-19,452280,한선엔지니어링,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-352185,-397819,-643626,11.26,33300,2026-05-20,31200,-6.31,31600,-5.11,31000,-6.91,24750,-25.68,16410,-50.72,하락 전환,"D+1(2026-05-20) 시가 -6.31%, 종가 -5.11%; D+5 -6.91%; D+10 -25.68%; D+20 -50.72%"
2026-05-19,319400,현대무벡스,foreign_sell_streak_2,"foreign_sell_streak_2,foreign_sell_2d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",2,-68707,-157859,70813,2.90,32950,2026-05-20,33400,1.37,32350,-1.82,36900,11.99,35000,6.22,33700,2.28,상승,"D+1(2026-05-20) 시가 +1.37%, 종가 -1.82%; D+5 +11.99%; D+10 +6.22%; D+20 +2.28%"
2026-05-20,005930,삼성전자,foreign_sell_streak_4,"foreign_sell_streak_2,foreign_sell_streak_3,foreign_sell_2d_all,foreign_sell_3d_all,foreign_sell_vol_0_5pct,foreign_sell_vol_1pct,foreign_sell_vol_2pct",4,-5733354,-14996401,-19482494,16.08,276000,2026-05-21,291000,5.43,299500,8.51,299500,8.51,329000,19.20,354000,28.26,상승 지속,"D+1(2026-05-21) 시가 +5.43%, 종가 +8.51%; D+5 +8.51%; D+10 +19.20%; D+20 +28.26%"
