ticker,name,signal_date,quarter,market_regime,direction,chg_pct,close,trade_amount,avg_trade_amount,amount_tag,flow_category,foreign_5d,institution_5d,individual_5d,dart_tag,disclosure_count,disclosure_names,window_category,investor_error,dart_error,status,error,is_candidate,no_match_reason
417010,나노팀,2026-09-03,2026_Q3,미분류,down,-4.078549848942603,6350.0,2858557725.0,3042037344.822222,거래대금약함,수급엇갈림,-44014.0,16185.0,29031.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
036540,SFA반도체,2026-09-03,2026_Q3,미분류,down,-3.103448275862064,5620.0,7057601905.0,12415330049.711111,거래대금약함,수급엇갈림,-229616.0,201766.0,24378.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
050890,쏠리드,2026-09-03,2026_Q3,미분류,down,-3.5755478662053086,8360.0,4521510420.0,7225926701.0,거래대금약함,수급엇갈림,20297.0,-101376.0,67492.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched
247540,에코프로비엠,2026-09-03,2026_Q3,미분류,up,0.18908926706742157,106500.0,36994692450.0,52514633073.333336,거래대금약함,수급엇갈림,17045.0,-413320.0,391495.0,DART공시동반,6,2026-09-02 권리락              (유상증자) / 2026-09-02 투자설명서 / 2026-09-02 [발행조건확정]증권신고서(지분증권),직접반응,,,ok,,False,strategy_condition_not_matched
027360,아주IB투자,2026-09-03,2026_Q3,미분류,down,-2.2617124394184174,3025.0,3515507792.0,9705768586.577778,거래대금약함,외국인기관동반매도,-624793.0,-344.0,635480.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
274090,켄코아에어로스페이스,2026-09-03,2026_Q3,미분류,down,-2.4159663865546244,9290.0,582200530.0,1592848840.7777777,거래대금약함,수급엇갈림,-45081.0,270.0,44506.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
066430,아이로보틱스,2026-09-03,2026_Q3,미분류,down,-2.4154589371980673,2020.0,559508701.0,4622584960.755555,거래대금약함,외국인기관동반매도,-37513.0,-467.0,35981.0,DART공시동반,1,2026-09-01 소송등의판결ㆍ결정              (주주총회소집허가),직접반응,,,ok,,False,strategy_condition_not_matched
290690,소룩스,2026-09-03,2026_Q3,미분류,up,1.6229712858926382,4070.0,921616810.0,3594590542.5555553,거래대금약함,수급엇갈림,54375.0,0.0,-57254.0,주변공시부재,0,,선반영,,,ok,,False,strategy_condition_not_matched
006260,LS,2026-09-03,2026_Q3,미분류,down,-1.5177065767284947,292000.0,22079617750.0,51433767777.77778,거래대금약함,수급엇갈림,36185.0,-31732.0,-4139.0,주변공시부재,0,,직접반응,,,ok,,False,strategy_condition_not_matched
037460,삼지전자,2026-09-03,2026_Q3,미분류,down,-0.990099009900991,30000.0,1810534625.0,2882083335.0,거래대금약함,수급엇갈림,-24289.0,46195.0,-22565.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
090710,휴림로봇,2026-09-03,2026_Q3,미분류,down,-1.3029315960912058,6060.0,4168157935.0,12896833341.222221,거래대금약함,외국인기관동반매도,-111755.0,-415010.0,518290.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
487580,폴레드,2026-09-03,2026_Q3,미분류,down,-2.2328548644338087,3065.0,472827993.0,1493259296.6888888,거래대금약함,외국인기관동반매도,-129527.0,-5583.0,144110.0,주변공시부재,0,,누적배경,,KeyError('487580'),ok,,False,strategy_condition_not_matched
452260,한화갤러리아,2026-09-03,2026_Q3,미분류,up,2.6190476190476097,2155.0,7319752960.0,2577711937.5333333,거래대금급증,수급엇갈림,-928882.0,12751.0,-712351.0,DART공시동반,1,2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
012200,계양전기,2026-09-03,2026_Q3,미분류,down,-1.2729844413012725,3490.0,631115939.0,1507513854.711111,거래대금약함,외국인기관동반매도,-73742.0,-51744.0,125019.0,DART공시동반,5,2026-09-01 [기재정정]투자설명서 / 2026-09-01 [발행조건확정]증권신고서(지분증권) / 2026-09-01 [기재정정]주요사항보고서(유상증자결정),직접반응,,,ok,,False,strategy_condition_not_matched
038500,삼표시멘트,2026-09-03,2026_Q3,미분류,down,-1.6438356164383605,7180.0,2100472435.0,5244989927.888889,거래대금약함,수급엇갈림,52030.0,-122613.0,68323.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
086280,현대글로비스,2026-09-03,2026_Q3,미분류,up,3.589743589743599,202000.0,46214219650.0,35815613542.22222,거래대금평균상회,수급엇갈림,-33548.0,61323.0,-27683.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
012860,모베이스전자,2026-09-03,2026_Q3,미분류,down,-1.4184397163120588,2085.0,565091135.0,1013595637.9555556,거래대금약함,수급엇갈림,-110692.0,14821.0,95353.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
007610,선도전기,2026-09-03,2026_Q3,미분류,down,-3.007518796992481,3870.0,405983695.0,5654828428.911111,거래대금약함,수급엇갈림,-22227.0,130.0,22198.0,DART공시동반,1,2026-08-31 [기재정정]단일판매ㆍ공급계약체결              ,직접반응,,,ok,,False,strategy_condition_not_matched
051910,LG화학,2026-09-03,2026_Q3,미분류,up,6.691449814126393,287000.0,86908245250.0,51524117267.022224,거래대금평균상회,수급엇갈림,-86449.0,139278.0,-50540.0,DART공시동반,1,2026-08-31 대규모기업집단현황공시[분기별공시(개별회사용)],직접반응,,,ok,,False,strategy_condition_not_matched
032820,우리기술,2026-09-03,2026_Q3,미분류,down,-1.1299435028248594,10500.0,19219838725.0,32326800566.88889,거래대금약함,외국인기관동반매도,-1756723.0,-769010.0,2522911.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
016360,삼성증권,2026-09-03,2026_Q3,미분류,up,1.6431924882629012,86600.0,28846234850.0,48809106156.666664,거래대금약함,수급정보부족,,,,DART공시동반,5,2026-09-02 증권발행실적보고서 / 2026-09-01 증권발행실적보고서 / 2026-09-01 증권발행실적보고서,직접반응,RemoteProtocolError('Server disconnected without sending a response.'),,ok,,False,strategy_condition_not_matched
203650,드림시큐리티,2026-09-03,2026_Q3,미분류,down,-3.0958230958230915,1972.0,1303308172.0,2549461241.4444447,거래대금약함,수급엇갈림,-119489.0,0.0,68963.0,DART공시동반,1,2026-09-02 주식등의대량보유상황보고서(일반),직접반응,,,ok,,False,strategy_condition_not_matched
006910,보성파워텍,2026-09-03,2026_Q3,미분류,down,-1.6105417276720324,6720.0,4515737265.0,8675941517.88889,거래대금약함,외국인기관동반매도,-85708.0,-3703.0,88415.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
003530,한화투자증권,2026-09-03,2026_Q3,미분류,down,-0.42553191489361764,4680.0,5086115539.0,6813733273.177778,거래대금약함,외국인기관동반매도,-407258.0,-84717.0,488741.0,DART공시동반,21,2026-09-03 [기재정정]투자설명서(일괄신고) / 2026-09-03 투자설명서(일괄신고) / 2026-09-03 일괄신고추가서류(기타파생결합사채),직접반응,,,ok,,False,strategy_condition_not_matched
138080,오이솔루션,2026-09-03,2026_Q3,미분류,down,-5.116279069767438,20400.0,3050309500.0,6372830352.333333,거래대금약함,수급엇갈림,57632.0,-84405.0,26191.0,DART공시동반,4,2026-09-02 주식등의대량보유상황보고서(일반) / 2026-09-02 임원ㆍ주요주주특정증권등소유상황보고서 / 2026-08-31 [기재정정]최대주주변경을수반하는주식담보제공계약체결              ,직접반응,,,ok,,False,strategy_condition_not_matched
078150,HB테크놀러지,2026-09-03,2026_Q3,미분류,down,-2.7258150721539254,1820.0,847522679.0,1455701646.4666667,거래대금약함,수급엇갈림,-189847.0,3.0,189537.0,주변공시부재,0,,누적배경,,,ok,,False,strategy_condition_not_matched
