signal_date,ticker,name,current_price,trailing_per,trailing_eps,ntm_eps,ntm_per,eps_year_1,eps_year_2,eps_source,estimate_status,estimate_detail,estimate_error,ntm_per_status,growth_pct,growth_method,peg_proxy,peg_proxy_status,review_note
2026-05-14,000270,기아,178100.0,9.32,19111.0,21150.6268,8.42,20625.2,22056.4,output3[1].data4/10:2026.12E 0.63 + output3[1].data5/10:2027.12E 0.37,ok,"output1:dict[8],output2:list[6],output3:list[8],output4:list[5]",,normal,6.94,eps_cagr_proxy:2026.12E-2027.12E,1.21,peg_proxy_1_0_to_1_5,growth_source=eps_cagr_proxy:2026.12E-2027.12E
2026-05-14,028260,삼성물산,442000.0,31.2,14165.0,,,,,,unparsed_response,"output1:dict[8],output2:list[0],output3:list[0],output4:list[0]",,estimate_missing,,,,,
2026-05-14,035420,NAVER,213000.0,17.21,12376.0,11268.9512,18.9,10847.2,11996.0,output3[1].data4/10:2026.12E 0.63 + output3[1].data5/10:2027.12E 0.37,ok,"output1:dict[8],output2:list[6],output3:list[8],output4:list[5]",,normal,10.59,eps_cagr_proxy:2026.12E-2027.12E,1.78,peg_proxy_over_1_5,growth_source=eps_cagr_proxy:2026.12E-2027.12E
2026-05-14,010120,LS ELECTRIC,280000.0,146.52,1911.0,17297.5581,16.19,15007.7,21245.0,output3[1].data4/10:2026.12E 0.63 + output3[1].data5/10:2027.12E 0.37,ok,"output1:dict[8],output2:list[6],output3:list[8],output4:list[5]",,normal,41.56,eps_cagr_proxy:2026.12E-2027.12E,0.39,peg_proxy_below_1_0,growth_source=eps_cagr_proxy:2026.12E-2027.12E
2026-05-14,452260,한화갤러리아,3340.0,196.47,17.0,,,,,,unparsed_response,"output1:dict[8],output2:list[0],output3:list[0],output4:list[0]",,estimate_missing,,,,,
2026-05-14,439960,코스모로보틱스,52700.0,-62.51,-843.0,,,,,,unparsed_response,"output1:dict[8],output2:list[0],output3:list[0],output4:list[0]",,estimate_missing,,,,,
2026-05-14,005490,POSCO홀딩스,486500.0,60.17,8085.0,35742.349,13.61,32087.6,42042.7,output3[1].data4/10:2026.12E 0.63 + output3[1].data5/10:2027.12E 0.37,ok,"output1:dict[8],output2:list[6],output3:list[8],output4:list[5]",,normal,31.02,eps_cagr_proxy:2026.12E-2027.12E,0.44,peg_proxy_below_1_0,growth_source=eps_cagr_proxy:2026.12E-2027.12E
2026-05-14,000720,현대건설,169300.0,50.99,3320.0,6073.5068,27.88,5036.2,7861.7,output3[1].data4/10:2026.12E 0.63 + output3[1].data5/10:2027.12E 0.37,ok,"output1:dict[8],output2:list[6],output3:list[8],output4:list[5]",,elevated,56.1,eps_cagr_proxy:2026.12E-2027.12E,0.5,peg_proxy_below_1_0,growth_source=eps_cagr_proxy:2026.12E-2027.12E
2026-05-14,009830,한화솔루션,47800.0,-12.82,-3728.0,,,,,,unparsed_response,"output1:dict[8],output2:list[0],output3:list[0],output4:list[0]",,estimate_missing,,,,,
2026-05-14,003230,삼양식품,1439000.0,27.84,51697.0,85398.6532,16.85,75563.2,102353.8,output3[1].data4/10:2026.12E 0.63 + output3[1].data5/10:2027.12E 0.37,ok,"output1:dict[8],output2:list[6],output3:list[8],output4:list[5]",,normal,35.45,eps_cagr_proxy:2026.12E-2027.12E,0.48,peg_proxy_below_1_0,growth_source=eps_cagr_proxy:2026.12E-2027.12E
