signal_date,ticker,name,condition_id,matched_conditions,foreign_net_buy_streak,foreign_qty,foreign_net_buy_2d_qty,foreign_net_buy_3d_qty,foreign_volume_ratio_pct,event_close,next_trading_day,next_open,next_open_return_pct,next_close,next_close_return_pct,d_plus_5_close,d_plus_5_return_pct,d_plus_10_close,d_plus_10_return_pct,d_plus_20_close,d_plus_20_return_pct,result_label,review_note
2026-05-04,403870,HPSP,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,111216,339675,186650,5.65,54400,,,,,,,,,,,,,
2026-04-30,001440,대한전선,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct",3,577887,975577,1718500,1.71,56300,,,,,,,,,,,,,
2026-04-30,016360,삼성증권,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,33083,96105,73638,9.57,107500,,,,,,,,,,,,,
2026-04-30,050890,쏠리드,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,1047528,1163098,872424,4.93,17110,,,,,,,,,,,,,
2026-04-30,199820,제일일렉트릭,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all",2,23284,70878,17342,0.11,17260,,,,,,,,,,,,,
2026-04-30,079550,LIG디펜스앤에어로스페이스,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,6072,59200,24775,2.49,941000,,,,,,,,,,,,,
2026-04-30,064350,현대로템,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,287828,557307,829778,19.45,268500,,,,,,,,,,,,,
2026-04-30,432720,퀄리타스반도체,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct",2,84431,87186,36852,0.91,25050,,,,,,,,,,,,,
2026-04-30,058470,리노공업,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,496801,610061,800327,18.91,119300,,,,,,,,,,,,,
2026-04-30,067310,하나마이크론,foreign_buy_streak_3,"foreign_buy_streak_2,foreign_buy_streak_3,foreign_buy_2d_all,foreign_buy_3d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",3,157378,223544,406064,12.38,39700,,,,,,,,,,,,,
2026-04-30,178320,서진시스템,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,117175,1002567,701751,3.22,59500,,,,,,,,,,,,,
2026-04-30,254490,미래반도체,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct,foreign_buy_vol_1pct,foreign_buy_vol_2pct",2,234838,264112,247773,9.30,23350,,,,,,,,,,,,,
2026-04-30,046890,서울반도체,foreign_buy_streak_2,"foreign_buy_streak_2,foreign_buy_2d_all,foreign_buy_vol_0_5pct",2,98941,147095,-326582,0.69,16510,,,,,,,,,,,,,
