condition_count,condition_key,description,train_n,train_ticker_count,train_avg_return_pct,train_median_return_pct,train_win_rate_pct,train_profit_factor,train_worst_return_pct,validation_n,validation_ticker_count,validation_avg_return_pct,validation_median_return_pct,validation_win_rate_pct,validation_profit_factor,validation_worst_return_pct,train_avg_lift_pct,validation_avg_lift_pct,train_win_rate_lift_pct,validation_win_rate_lift_pct,verdict
2,market_regime=변동성 장세 & window_category=직접반응,market_regime=변동성 장세 + window_category=직접반응,0,0,,,,,,160,26,2.46,-0.03,50.0,1.99,-14.32,,1.1,,1.6,DROP_SAMPLE
2,market_regime=변동성 장세 & dart_tag=DART공시동반,market_regime=변동성 장세 + dart_tag=DART공시동반,0,0,,,,,,152,26,2.22,-0.37,48.0,1.81,-21.76,,0.86,,-0.4,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & dart_tag=주변공시부재,market_regime=AI/전력기기 테마장 + dart_tag=주변공시부재,0,0,,,,,,87,27,2.14,1.46,57.5,1.79,-24.72,,0.78,,9.1,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & chg_pct<=-7,market_regime=AI/전력기기 테마장 + 당일 하락률 7% 이상,0,0,,,,,,91,32,2.26,1.76,59.3,1.71,-33.05,,0.9,,10.9,DROP_SAMPLE
2,market_regime=변동성 장세 & needs_external_review=False,market_regime=변동성 장세 + needs_external_review=False,0,0,,,,,,124,26,1.69,-0.95,42.7,1.62,-14.32,,0.33,,-5.7,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & chg_pct<=-5,market_regime=AI/전력기기 테마장 + 당일 하락률 5% 이상,0,0,,,,,,163,32,1.93,1.26,55.2,1.6,-33.05,,0.57,,6.8,DROP_SAMPLE
2,market_regime=AI/전력기기 테마장 & flow_category=수급엇갈림,market_regime=AI/전력기기 테마장 + flow_category=수급엇갈림,0,0,,,,,,230,34,1.5,0.2,51.3,1.56,-33.05,,0.14,,2.9,DROP_SAMPLE
2,market_regime=변동성 장세 & amount_tag=거래대금급증,market_regime=변동성 장세 + amount_tag=거래대금급증,0,0,,,,,,20,16,1.18,0.32,50.0,1.49,-11.81,,-0.18,,1.6,DROP_SAMPLE
2,market_regime=변동성 장세 & amount_tag=거래대금평균상회,market_regime=변동성 장세 + amount_tag=거래대금평균상회,0,0,,,,,,95,26,1.1,-0.85,47.4,1.38,-21.76,,-0.26,,-1.0,DROP_SAMPLE
2,amount_tag=거래대금약함 & window_category=설명부족,amount_tag=거래대금약함 + window_category=설명부족,0,0,,,,,,2,2,0.26,0.26,50.0,1.33,-1.57,,-1.1,,1.6,DROP_SAMPLE
