market_regime,direction,amount_tag,flow_category,dart_tag,window_category,event_count,usable_event_count,company_count,dominant_followup,dominant_count,dominant_rate,external_review_count,leading_signal_count,hypothesis_pass,leading_share
유동성/저금리 후반장,up,거래대금약함,수급엇갈림,DART공시동반,직접반응,73,67,35,상승지속,22,0.3283582089552239,24,72,False,0.9863013698630136
금리 인상/긴축장,up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,96,92,32,상승실패,30,0.32608695652173914,0,95,False,0.9895833333333334
AI/전력기기 테마장,down,거래대금급증,외국인기관동반매도,DART공시동반,직접반응,44,43,22,하락지속,14,0.32558139534883723,0,43,False,0.9772727272727273
반도체 반등장,up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,136,133,34,상승실패,43,0.3233082706766917,41,136,False,1.0
변동성 장세,down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,79,69,33,하락후반등,22,0.3188405797101449,0,77,False,0.9746835443037974
유동성/저금리 후반장,down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,109,104,33,하락유지,33,0.3173076923076923,0,109,False,1.0
금리 인상/긴축장,down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,225,206,38,하락후반등,65,0.3155339805825243,78,223,False,0.9911111111111112
AI/전력기기 테마장,up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,266,258,39,상승지속,81,0.313953488372093,95,266,False,1.0
변동성 장세,down,거래대금약함,수급엇갈림,주변공시부재,누적배경,20,16,12,하락유지,5,0.3125,20,20,False,1.0
유동성/저금리 후반장,up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,17,16,12,상승유지,5,0.3125,0,16,False,0.9411764705882353
금리 인상/긴축장,up,거래대금평균상회,수급엇갈림,주변공시부재,직접반응,16,16,10,단기되돌림,5,0.3125,4,16,False,1.0
반도체 반등장,down,거래대금약함,수급엇갈림,DART공시동반,직접반응,114,109,37,하락유지,34,0.3119266055045872,42,114,False,1.0
AI/전력기기 테마장,down,거래대금약함,외국인기관동반매도,주변공시부재,직접반응,50,45,23,하락후반등,14,0.3111111111111111,0,49,False,0.98
유동성/저금리 후반장,down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,43,42,25,하락지속,13,0.30952380952380953,0,43,False,1.0
금리 인상/긴축장,up,거래대금평균상회,외국인기관동반매수,DART공시동반,직접반응,136,130,33,상승유지,40,0.3076923076923077,0,136,False,1.0
반도체 반등장,down,거래대금약함,수급엇갈림,주변공시부재,선반영,27,26,13,단기반등,8,0.3076923076923077,27,27,False,1.0
금리 인상/긴축장,down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,159,153,35,하락지속,47,0.30718954248366015,0,159,False,1.0
반도체 반등장,up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,61,59,25,상승실패,18,0.3050847457627119,0,60,False,0.9836065573770492
유동성/저금리 후반장,up,거래대금급증,외국인기관동반매수,DART공시동반,직접반응,44,43,24,상승실패,13,0.3023255813953488,0,44,False,1.0
AI/전력기기 테마장,down,거래대금평균상회,외국인기관동반매도,DART공시동반,직접반응,159,149,36,하락지속,45,0.30201342281879195,0,158,False,0.9937106918238994
금리 인상/긴축장,down,거래대금약함,수급엇갈림,주변공시부재,선반영,67,60,25,하락지속,18,0.3,66,67,False,1.0
금리 인상/긴축장,down,거래대금약함,외국인기관동반매수,주변공시부재,선반영,11,10,7,하락후반등,3,0.3,8,11,False,1.0
금리 인상/긴축장,down,거래대금평균상회,외국인기관동반매수,주변공시부재,누적배경,10,10,7,하락후반등,3,0.3,10,10,False,1.0
반도체 반등장,down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,122,121,34,단기반등,36,0.2975206611570248,30,122,False,1.0
유동성/저금리 후반장,down,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,130,128,33,하락후반등,38,0.296875,44,130,False,1.0
유동성/저금리 후반장,up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,107,104,33,상승유지,30,0.28846153846153844,32,107,False,1.0
반도체 반등장,up,거래대금약함,외국인기관동반매수,주변공시부재,직접반응,14,14,8,단기되돌림,4,0.2857142857142857,0,13,False,0.9285714285714286
유동성/저금리 후반장,up,거래대금약함,외국인기관동반매도,주변공시부재,누적배경,8,7,8,단기되돌림,2,0.2857142857142857,6,8,False,1.0
AI/전력기기 테마장,down,거래대금약함,외국인기관동반매도,DART공시동반,직접반응,142,128,38,하락지속,36,0.28125,0,142,False,1.0
AI/전력기기 테마장,up,거래대금평균상회,수급엇갈림,주변공시부재,누적배경,26,25,17,상승유지,7,0.28,8,26,False,1.0
AI/전력기기 테마장,down,거래대금평균상회,수급엇갈림,주변공시부재,선반영,19,18,12,하락후반등,5,0.2777777777777778,5,19,False,1.0
반도체 반등장,up,거래대금평균상회,외국인기관동반매수,주변공시부재,직접반응,22,18,12,상승유지,5,0.2777777777777778,0,22,False,1.0
변동성 장세,up,거래대금평균상회,수급엇갈림,DART공시동반,직접반응,123,123,33,상승실패,34,0.2764227642276423,46,123,False,1.0
